lon,lat,altitude,sats,date,GMTtime,winddir,windspeedms,windgustms,windspdms_avg2m,winddir_avg2m,windgustms_10m,windgustdir_10m,humidity,tempc,raindailymm,rainhourmm,rain5mmm,rainindicate,pressure,batt_lvl,light_lvl
0.000000,0.000000,0.00,0,2016-06-30,13:16:14,180,nan,0.0,0,0.0,75,0.0,0,65.4,-999.0,0.00,0.00,0.00,0,0.00,11.98,0.00
0.000000,0.000000,0.00,0,2016-06-30,13:16:23,180,nan,0.0,0,0.0,94,0.0,0,64.5,29.9,0.00,0.00,0.00,0,99696.75,11.98,0.00
0.000000,0.000000,0.00,0,2016-06-30,13:16:33,180,nan,0.0,0,0.0,294,0.0,0,63.6,30.2,0.00,0.00,0.00,0,99703.00,11.98,0.00
0.000000,0.000000,0.00,0,2016-06-30,13:16:44,180,nan,0.0,0,0.0,-41,0.0,0,62.6,30.5,0.00,0.00,0.00,0,99702.50,11.98,0.00
0.000000,0.000000,0.00,0,2016-06-30,13:16:52,135,nan,0.0,0,0.0,-39,0.0,0,61.9,30.7,0.00,0.00,0.00,0,99705.75,11.96,0.00
0.000000,0.000000,0.00,0,2016-06-30,13:17:03,225,nan,0.0,0,0.0,-38,0.0,0,61.0,31.0,0.00,0.00,0.00,0,99712.75,12.01,0.00
0.000000,0.000000,0.00,0,2016-06-30,13:17:14,180,nan,0.0,0,0.0,206,0.0,0,60.2,31.3,0.00,0.00,0.00,0,99704.25,11.98,0.00
80.297805,8.156579,0.00,0,2016-06-30,13:17:23,135,nan,0.0,0,0.0,207,0.0,0,59.6,31.6,0.00,0.00,0.00,0,99706.75,11.98,0.00
80.297790,8.156547,0.00,0,2016-06-30,13:17:33,135,nan,0.0,0,0.0,209,0.0,0,58.9,31.8,0.00,0.00,0.00,0,99708.00,12.01,0.00
80.297790,8.156563,0.00,4,2016-06-30,13:17:43,135,nan,0.0,0,0.0,210,0.0,0,58.2,32.1,0.00,0.00,0.00,0,99707.50,11.98,0.00
80.297935,8.156577,0.00,4,2016-06-30,13:17:53,135,nan,0.0,0,0.0,211,0.0,0,57.6,32.3,0.00,0.00,0.00,0,99715.25,12.01,0.00
80.297966,8.156577,0.00,4,2016-06-30,13:18:03,180,nan,0.0,0,0.0,212,0.0,0,57.0,32.6,0.00,0.00,0.00,0,99716.25,11.98,0.00
80.297981,8.156571,0.00,4,2016-06-30,13:18:13,180,nan,0.0,0,0.0,574,0.0,0,56.5,32.7,0.00,0.00,0.00,0,99721.25,11.98,0.00
