lon,lat,altitude,sats,date,GMTtime,winddir,windspeedms,windgustms,windspdms_avg2m,winddir_avg2m,windgustms_10m,windgustdir_10m,humidity,tempc,raindailymm,rainhourmm,rain5mmm,rainindicate,pressure,batt_lvl,light_lvl
0.000000,0.000000,0.00,0,2016-07-06,13:16:27,0,nan,0.0,0,0.0,104,0.0,0,62.9,-999.0,0.28,0.28,0.00,1,0.00,11.98,0.00
0.000000,0.000000,0.00,0,2016-07-06,13:16:38,90,nan,0.0,0,0.0,76,0.0,0,62.0,29.8,0.28,0.28,0.00,1,99686.50,11.98,0.00
0.000000,0.000000,0.00,0,2016-07-06,13:16:48,90,0.0,0.0,0,0.0,77,0.0,0,61.1,30.1,0.28,0.28,0.00,1,99692.50,11.98,0.00
80.297805,8.156407,0.00,3,2016-07-06,13:16:58,90,nan,0.0,0,0.0,77,0.0,0,60.3,30.4,0.28,0.28,0.00,1,99691.00,11.98,0.00
80.297966,8.156528,0.00,4,2016-07-06,13:17:08,180,nan,0.0,0,0.0,79,0.0,0,59.5,30.6,0.28,0.28,0.00,1,99690.75,12.01,0.00
80.298004,8.156500,0.00,4,2016-07-06,13:17:18,180,nan,0.0,0,0.0,-19,0.0,0,58.7,30.9,0.28,0.28,0.00,1,99699.50,11.98,0.00
80.298057,8.156455,0.00,4,2016-07-06,13:17:28,180,nan,0.0,0,0.0,-18,0.0,0,58.1,31.2,0.28,0.28,0.00,1,99695.75,11.98,0.00
80.298072,8.156434,0.00,4,2016-07-06,13:17:38,180,nan,0.0,0,0.0,-16,0.0,0,57.4,31.4,0.28,0.28,0.00,1,99689.25,11.98,0.00
80.298049,8.156446,0.00,4,2016-07-06,13:17:48,180,0.0,0.0,0,0.0,-15,0.0,0,56.8,31.7,0.28,0.28,0.00,1,99693.25,11.98,0.00
80.298042,8.156460,0.00,4,2016-07-06,13:17:58,180,nan,0.0,0,0.0,-13,0.0,0,56.1,31.9,0.28,0.28,0.00,1,99693.25,11.98,0.00
80.298034,8.156479,0.00,4,2016-07-06,13:18:08,180,nan,0.0,0,0.0,-12,0.0,0,55.5,32.2,0.28,0.28,0.00,1,99697.50,11.98,0.00
80.298049,8.156497,0.00,4,2016-07-06,13:18:18,180,nan,0.0,0,0.0,-10,0.0,0,54.9,32.4,0.28,0.28,0.00,1,99702.25,11.98,0.00
80.298042,8.156515,0.00,4,2016-07-06,13:18:28,180,0.0,0.0,0,0.0,-63,0.0,0,54.2,32.6,0.28,0.28,0.00,1,99706.25,11.98,0.00
80.298042,8.156527,0.00,4,2016-07-06,13:18:38,180,nan,0.0,0,0.0,264,0.0,0,53.6,32.9,0.28,0.28,0.00,1,99697.25,11.98,0.00
80.298057,8.156523,0.00,4,2016-07-06,13:18:48,180,0.0,0.0,0,0.0,265,0.0,0,53.2,33.1,0.28,0.28,0.00,1,99701.00,12.01,0.00
80.298072,8.156506,0.00,4,2016-07-06,13:18:58,180,nan,0.0,0,0.0,266,0.0,0,52.7,33.3,0.28,0.28,0.00,1,99701.25,12.01,0.00
80.298080,8.156497,0.00,4,2016-07-06,13:19:08,180,nan,0.0,0,0.0,266,0.0,0,52.2,33.5,0.28,0.28,0.00,1,99706.50,12.01,0.00
80.298080,8.156487,0.00,4,2016-07-06,13:19:18,180,nan,0.0,0,0.0,267,0.0,0,51.7,33.7,0.28,0.28,0.00,1,99711.50,12.01,0.00
80.298080,8.156485,0.00,4,2016-07-06,13:19:28,180,nan,0.0,0,0.0,267,0.0,0,51.2,33.9,0.28,0.28,0.00,1,99713.75,12.01,0.00
80.298065,8.156500,0.00,4,2016-07-06,13:19:38,135,nan,0.0,0,0.0,207,0.0,0,50.7,34.1,0.28,0.28,0.00,1,99714.25,12.01,0.00
80.298057,8.156491,0.00,4,2016-07-06,13:19:48,203,nan,0.0,0,0.0,269,0.0,0,50.3,34.2,0.28,0.28,0.00,1,99712.75,12.01,0.00
80.298080,8.156459,0.00,4,2016-07-06,13:19:58,180,nan,0.0,0,0.0,269,0.0,0,49.8,34.4,0.28,0.28,0.00,1,99713.50,12.01,0.00
80.298080,8.156461,0.00,4,2016-07-06,13:20:08,180,nan,0.0,0,0.0,269,0.0,0,49.5,34.6,0.28,0.28,0.00,0,99714.00,12.01,0.00
80.298065,8.156471,0.00,4,2016-07-06,13:20:18,135,0.0,0.0,0,0.0,269,0.6,135,49.0,34.7,0.28,0.28,0.00,0,99712.00,12.03,0.00
80.298057,8.156481,0.00,4,2016-07-06,13:20:28,0,0.0,0.0,0,0.0,267,1.4,0,48.6,34.9,0.28,0.28,0.00,0,99707.75,12.01,0.00
80.298049,8.156483,0.00,4,2016-07-06,13:20:38,135,nan,0.0,0,0.0,267,2.6,135,48.2,35.1,0.28,0.28,0.00,0,99703.00,12.03,0.00
80.298042,8.156499,0.00,4,2016-07-06,13:20:48,203,nan,0.0,0,0.0,267,2.6,135,48.1,35.2,0.28,0.28,0.00,0,99694.50,12.03,0.00
80.298034,8.156514,0.00,4,2016-07-06,13:20:58,203,nan,0.0,0,0.0,267,2.6,135,47.7,35.4,0.28,0.28,0.00,0,99693.50,12.03,0.00
80.298027,8.156519,0.00,4,2016-07-06,13:21:08,180,0.0,0.0,0,0.0,267,2.6,135,47.4,35.5,0.28,0.28,0.00,0,99695.75,12.05,0.00
80.298027,8.156518,0.00,4,2016-07-06,13:21:16,180,nan,0.0,0,0.0,267,2.6,135,47.1,35.6,0.28,0.28,0.00,0,99697.00,12.03,0.00
80.298034,8.156516,0.00,4,2016-07-06,13:21:26,225,nan,0.0,0,0.0,268,2.6,135,46.9,35.7,0.28,0.28,0.00,0,99702.00,12.05,0.00
80.298027,8.156518,0.00,4,2016-07-06,13:21:36,225,nan,0.0,0,0.1,268,2.6,135,46.6,35.9,0.28,0.28,0.00,0,99702.75,12.03,0.00
80.298019,8.156526,0.00,4,2016-07-06,13:21:46,225,0.0,0.0,0,0.1,269,2.6,135,46.3,36.0,0.28,0.28,0.00,0,99707.00,12.05,0.00
80.298019,8.156538,0.00,4,2016-07-06,13:21:56,180,nan,0.0,0,0.1,269,2.6,135,46.1,36.1,0.28,0.28,0.00,0,99702.00,12.05,0.00
80.298019,8.156553,0.00,4,2016-07-06,13:22:06,225,nan,0.0,0,0.1,269,2.6,135,45.8,36.2,0.28,0.28,0.00,0,99703.00,12.05,0.00
80.298019,8.156561,0.00,4,2016-07-06,13:22:16,225,nan,0.0,0,0.1,270,2.6,135,45.7,36.3,0.28,0.28,0.00,0,99704.75,12.05,0.00
