lon,lat,altitude,sats,date,GMTtime,winddir,windspeedms,windgustms,windspdms_avg2m,winddir_avg2m,windgustms_10m,windgustdir_10m,humidity,tempc,raindailymm,rainhourmm,rain5mmm,rainindicate,pressure,batt_lvl,light_lvl
0.000000,0.000000,0.00,0,2000-00-00,00:00:00,225,nan,0.0,0,0.0,1,0.1,225,55.8,-999.0,0.28,0.28,0.28,1,0.00,12.02,0.00
0.000000,0.000000,0.00,0,2000-00-00,00:00:00,225,nan,0.0,0,0.0,3,0.9,225,55.1,30.4,0.28,0.28,0.28,1,100016.25,12.02,0.00
0.000000,0.000000,0.00,0,2000-00-00,00:00:00,180,nan,0.0,0,0.0,5,1.0,180,54.2,30.7,0.28,0.28,0.28,1,100005.00,12.01,0.00
0.000000,0.000000,0.00,0,2000-00-00,00:00:00,180,nan,0.0,0,0.0,6,1.0,180,53.4,31.1,0.28,0.28,0.28,1,100003.75,11.98,0.00
0.000000,0.000000,0.00,0,2000-00-00,00:00:00,135,nan,0.0,0,0.0,7,1.0,180,52.7,31.3,0.28,0.28,0.28,1,100003.50,12.01,0.00
0.000000,0.000000,0.00,0,2000-00-00,00:00:00,180,nan,0.0,0,0.0,9,1.0,180,52.0,31.6,0.28,0.28,0.28,1,100008.50,12.01,0.00
0.000000,0.000000,0.00,0,2016-09-04,13:00:20,225,nan,0.0,0,0.0,11,1.0,180,51.3,31.9,0.28,0.28,0.28,1,100011.25,12.01,0.00
0.000000,0.000000,0.00,0,2016-09-04,13:00:30,180,nan,0.0,0,0.0,12,1.0,180,50.6,32.1,0.28,0.28,0.28,1,100008.25,12.01,0.00
0.000000,0.000000,0.00,0,2016-09-04,13:00:40,135,nan,0.0,0,0.0,13,1.0,180,50.1,32.4,0.28,0.28,0.28,1,100020.25,12.01,0.00
0.000000,0.000000,0.00,0,2016-09-04,13:00:50,225,nan,0.0,0,0.0,15,1.0,225,49.5,32.7,0.28,0.28,0.28,1,100016.75,12.01,0.00
0.000000,0.000000,0.00,0,2016-09-04,13:01:00,225,nan,0.0,0,0.0,17,1.0,225,48.9,32.9,0.28,0.28,0.28,1,100005.50,12.03,0.00
0.000000,0.000000,0.00,0,2016-09-04,13:01:09,203,nan,0.0,0,0.0,19,1.2,203,48.5,33.1,0.28,0.28,0.28,1,100011.25,12.01,0.00
0.000000,0.000000,0.00,0,2016-09-04,13:01:20,68,nan,0.0,0,0.0,18,1.7,68,47.9,33.3,0.28,0.28,0.28,1,100010.75,12.01,0.00
0.000000,0.000000,0.00,0,2016-09-04,13:01:30,225,nan,0.0,0,0.0,18,1.7,68,47.4,33.6,0.28,0.28,0.28,1,100009.75,12.01,0.00
80.297943,8.156618,0.00,0,2016-09-04,13:01:40,135,nan,0.0,0,0.0,17,1.7,68,46.9,33.7,0.28,0.28,0.28,1,100014.75,12.01,0.00
80.297935,8.156629,0.00,0,2016-09-04,13:01:50,45,nan,0.0,0,0.1,16,1.7,68,46.5,33.9,0.28,0.28,0.28,1,100016.00,12.01,0.00
80.297988,8.156593,0.00,0,2016-09-04,13:02:00,23,0.0,0.0,0,0.1,15,1.7,68,46.0,34.1,0.28,0.28,0.28,1,100021.00,12.01,0.00
80.298011,8.156579,0.00,0,2016-09-04,13:02:10,135,nan,0.0,0,0.1,15,1.7,68,45.6,34.3,0.28,0.28,0.28,1,100012.75,12.01,0.00
