lon,lat,altitude,sats,date,GMTtime,winddir,windspeedms,windgustms,windspdms_avg2m,winddir_avg2m,windgustms_10m,windgustdir_10m,humidity,tempc,raindailymm,rainhourmm,rain5mmm,rainindicate,pressure,batt_lvl,light_lvl
0.000000,0.000000,0.00,0,2000-00-00,00:00:00,270,nan,0.0,0,0.0,2,0.1,270,82.9,-999.0,0.00,0.00,0.00,0,0.00,12.07,0.00
0.000000,0.000000,0.00,0,2000-00-00,00:00:00,315,nan,0.0,0,0.0,4,0.5,315,81.8,26.2,0.00,0.00,0.00,0,99837.00,12.07,0.00
0.000000,0.000000,0.00,0,2000-00-00,00:00:00,270,nan,0.0,0,0.0,7,0.6,270,80.7,26.5,0.00,0.00,0.00,0,99833.50,12.05,0.00
0.000000,0.000000,0.00,0,2000-00-00,00:00:00,270,nan,0.0,0,0.0,9,0.6,270,79.6,26.8,0.00,0.00,0.00,0,99828.00,12.07,0.00
0.000000,0.000000,0.00,0,2000-00-00,00:00:00,225,nan,0.0,0,0.0,11,0.6,270,78.6,27.1,0.00,0.00,0.00,0,99839.75,12.07,0.00
0.000000,0.000000,0.00,0,2000-00-00,12:27:29,270,nan,0.0,0,0.0,13,0.6,270,77.7,27.4,0.00,0.00,0.00,0,99839.25,12.07,0.00
0.000000,0.000000,0.00,0,2000-00-00,12:27:38,270,nan,0.0,0,0.0,15,0.7,270,76.7,27.7,0.00,0.00,0.00,0,99829.25,12.07,0.00
0.000000,0.000000,0.00,0,2016-11-18,12:27:49,270,nan,0.0,0,0.0,18,1.0,270,75.8,27.9,0.00,0.00,0.00,0,99827.25,12.07,0.00
0.000000,0.000000,0.00,0,2016-11-18,12:27:59,270,nan,0.0,0,0.0,20,1.2,270,74.9,28.2,0.00,0.00,0.00,0,99830.25,12.05,0.00
80.298034,8.156458,0.00,3,2016-11-18,12:28:09,270,nan,0.0,0,0.0,22,1.2,270,74.1,28.4,0.00,0.00,0.00,0,99829.25,12.07,0.00
80.297996,8.156445,0.00,3,2016-11-18,12:28:19,270,0.0,0.0,0,0.0,24,1.2,270,73.3,28.7,0.00,0.00,0.00,0,99837.00,12.07,0.00
80.298004,8.156443,0.00,3,2016-11-18,12:28:29,0,nan,0.0,0,0.0,24,1.2,270,72.5,28.9,0.00,0.00,0.00,0,99837.00,12.05,0.00
80.297996,8.156449,0.00,3,2016-11-18,12:28:39,0,nan,0.0,0,0.0,22,1.2,270,71.8,29.1,0.00,0.00,0.00,0,99826.00,12.07,0.00
80.297981,8.156458,0.00,3,2016-11-18,12:28:49,0,0.0,0.0,0,0.0,19,1.2,270,71.2,29.3,0.00,0.00,0.00,0,99818.00,12.05,0.00
80.297988,8.156443,0.00,3,2016-11-18,12:28:59,0,nan,0.0,0,0.0,17,1.2,270,70.5,29.6,0.00,0.00,0.00,0,99827.50,12.10,0.00
80.297935,8.156438,0.00,3,2016-11-18,12:29:09,0,0.0,0.0,0,0.0,15,1.2,270,69.9,29.7,0.00,0.00,0.00,0,99823.75,12.07,0.00
80.297897,8.156438,0.00,4,2016-11-18,12:29:19,0,nan,0.0,0,0.0,13,1.2,270,69.3,29.9,0.00,0.00,0.00,0,99816.75,12.10,0.00
80.297904,8.156522,0.00,4,2016-11-18,12:29:29,0,0.0,0.0,0,0.0,11,1.2,270,68.8,30.1,0.00,0.00,0.00,0,99813.25,12.05,0.00
