lon,lat,altitude,sats,date,GMTtime,winddir,windspeedms,windgustms,windspdms_avg2m,winddir_avg2m,windgustms_10m,windgustdir_10m,humidity,tempc,raindailymm,rainhourmm,rain5mmm,rainindicate,pressure,batt_lvl,light_lvl
80.297912,8.157137,0.00,0,2016-10-31,12:29:32,45,0.0,0.0,0,0.0,161,0.0,0,69.7,-999.0,0.00,0.00,0.00,0,0.00,12.05,0.00
80.297904,8.157132,0.00,0,2016-10-31,12:29:43,45,nan,0.0,0,0.0,161,0.0,0,68.7,26.4,0.00,0.00,0.00,0,100024.50,12.05,0.00
80.297882,8.157119,0.00,0,2016-10-31,12:29:52,45,nan,0.0,0,0.0,161,0.0,0,67.8,26.6,0.00,0.00,0.00,0,100029.75,12.05,0.00
80.298019,8.156562,0.00,0,2016-10-31,12:30:02,45,nan,0.0,0,0.0,337,0.0,0,66.9,26.9,0.00,0.00,0.00,0,100037.50,12.05,0.00
80.298065,8.156610,0.00,0,2016-10-31,12:30:12,45,nan,0.0,0,0.0,337,0.5,45,66.0,27.2,0.00,0.00,0.00,0,100050.75,12.05,0.00
80.298057,8.156612,0.00,0,2016-10-31,12:30:22,45,nan,0.0,0,0.0,337,0.5,45,65.1,27.5,0.00,0.00,0.00,0,100045.75,12.05,0.00
80.298049,8.156620,0.00,0,2016-10-31,12:30:32,45,nan,0.0,0,0.0,338,0.5,45,64.3,27.7,0.00,0.00,0.00,0,100037.00,12.05,0.00
80.298011,8.156562,0.00,0,2016-10-31,12:30:42,315,0.0,0.0,0,0.0,340,0.5,45,63.6,28.0,0.00,0.00,0.00,0,100049.25,12.05,0.00
80.297988,8.156526,0.00,0,2016-10-31,12:30:52,225,nan,0.0,0,0.0,342,0.5,45,62.9,28.2,0.00,0.00,0.00,0,100051.75,12.05,0.00
80.298004,8.156533,0.00,0,2016-10-31,12:31:02,225,nan,0.0,0,0.0,344,0.5,45,62.1,28.4,0.00,0.00,0.00,0,100044.25,12.05,0.00
80.297996,8.156536,0.00,0,2016-10-31,12:31:12,225,0.0,0.0,0,0.0,346,0.5,45,61.5,28.7,0.00,0.00,0.00,0,100034.00,12.03,0.00
80.298011,8.156550,0.00,0,2016-10-31,12:31:22,270,nan,0.0,0,0.0,348,0.5,45,60.8,28.9,0.00,0.00,0.00,0,100034.25,12.05,0.00
80.298011,8.156551,0.00,0,2016-10-31,12:31:32,270,nan,0.0,0,0.0,350,0.5,45,60.1,29.1,0.00,0.00,0.00,0,100034.00,12.07,0.00
80.298011,8.156554,0.00,0,2016-10-31,12:31:42,270,nan,0.0,0,0.0,352,0.5,45,59.5,29.4,0.00,0.00,0.00,0,100037.50,12.05,0.00
80.298004,8.156546,0.00,0,2016-10-31,12:31:52,270,nan,0.0,0,0.0,354,0.5,45,59.0,29.6,0.00,0.00,0.00,0,100042.50,12.05,0.00
