lon,lat,altitude,sats,date,GMTtime,winddir,windspeedms,windgustms,windspdms_avg2m,winddir_avg2m,windgustms_10m,windgustdir_10m,humidity,tempc,raindailymm,rainhourmm,rain5mmm,rainindicate,pressure,batt_lvl,light_lvl
0.000000,0.000000,0.00,0,2017-04-19,13:06:45,225,nan,0.0,0,0.0,1,0.3,0,51.3,-999.0,0.28,0.28,0.00,1,0.00,12.02,0.00
0.000000,0.000000,0.00,0,2017-04-19,13:06:56,225,0.0,0.0,0,0.0,3,0.6,225,50.5,32.3,0.28,0.28,0.00,1,99802.50,12.02,0.00
80.297935,8.156861,0.00,4,2017-04-19,13:07:05,225,nan,0.0,0,0.0,5,0.7,225,49.8,32.6,0.28,0.28,0.00,1,99803.00,12.02,0.00
80.297935,8.156861,0.00,4,2017-04-19,13:07:16,180,nan,0.0,0,0.0,7,0.7,180,49.0,32.8,0.28,0.28,0.00,1,99807.00,12.02,0.00
80.297943,8.156760,0.00,4,2017-04-19,13:07:25,180,nan,0.0,0,0.0,8,0.8,180,48.4,33.1,0.28,0.28,0.00,1,99818.75,12.02,0.00
80.297920,8.156859,0.00,4,2017-04-19,13:07:35,180,0.0,0.0,0,0.0,10,0.9,180,47.8,33.4,0.28,0.28,0.00,1,99807.50,12.05,0.00
80.297943,8.156872,0.00,4,2017-04-19,13:07:45,180,0.0,0.0,0,0.0,11,0.9,180,47.1,33.6,0.28,0.28,0.00,1,99809.75,12.02,0.00
80.297912,8.156864,0.00,4,2017-04-19,13:07:55,225,nan,0.0,0,0.0,13,1.1,225,46.5,33.9,0.28,0.28,0.00,1,99807.75,12.05,0.00
80.297920,8.156734,0.00,4,2017-04-19,13:08:05,45,nan,0.0,0,0.0,13,1.1,225,46.0,34.1,0.28,0.28,0.00,1,99816.00,12.05,0.00
80.297950,8.156672,0.00,4,2017-04-19,13:08:15,180,nan,0.0,0,0.0,15,1.6,180,45.4,34.4,0.28,0.28,0.00,1,99815.50,12.05,0.00
80.297958,8.156643,0.00,4,2017-04-19,13:08:25,158,nan,0.0,0,0.0,16,2.1,158,45.1,34.6,0.28,0.28,0.00,1,99814.75,12.05,0.00
80.297981,8.156630,0.00,4,2017-04-19,13:08:35,135,nan,0.0,0,0.0,17,2.1,158,44.6,34.8,0.28,0.28,0.00,1,99817.50,12.05,0.00
80.297996,8.156613,0.00,4,2017-04-19,13:08:42,135,0.0,0.0,0,0.1,17,2.1,158,44.1,35.0,0.28,0.28,0.00,1,99811.25,12.05,0.00
80.297996,8.156609,0.00,4,2017-04-19,13:08:52,180,nan,0.0,0,0.1,16,2.1,158,43.6,35.2,0.28,0.28,0.00,1,99810.50,12.05,0.00
80.298011,8.156603,0.00,4,2017-04-19,13:09:02,225,nan,0.0,0,0.1,16,2.1,158,43.2,35.4,0.28,0.28,0.00,1,99803.50,12.07,0.00
80.298019,8.156593,0.00,4,2017-04-19,13:09:12,225,nan,0.0,0,0.1,17,2.1,158,42.9,35.6,0.28,0.28,0.00,1,99801.00,12.05,0.00
80.298019,8.156588,0.00,4,2017-04-19,13:09:22,225,nan,0.0,0,0.1,17,2.1,158,42.6,35.7,0.28,0.28,0.00,1,99797.75,12.05,0.00
80.298011,8.156577,0.00,4,2017-04-19,13:09:32,180,nan,0.0,0,0.1,17,2.1,158,42.3,35.9,0.28,0.28,0.00,1,99796.50,12.05,0.00
80.298004,8.156566,0.00,4,2017-04-19,13:09:42,225,0.0,0.0,0,0.1,17,2.1,158,42.0,36.1,0.28,0.28,0.00,1,99796.00,12.05,0.00
80.298004,8.156565,0.00,4,2017-04-19,13:09:52,225,0.0,0.0,0,0.1,17,2.1,158,41.6,36.2,0.28,0.28,0.00,1,99800.75,12.07,0.00
80.298004,8.156560,0.00,4,2017-04-19,13:10:02,225,0.0,0.0,0,0.1,19,2.1,158,41.3,36.4,0.28,0.28,0.00,0,99803.75,12.05,0.00
80.297996,8.156562,0.00,4,2017-04-19,13:10:12,23,nan,0.0,0,0.1,18,2.1,158,41.0,36.5,0.28,0.28,0.00,0,99801.00,12.05,0.00
80.298004,8.156570,0.00,4,2017-04-19,13:10:22,135,nan,0.0,0,0.1,17,2.1,158,40.7,36.7,0.28,0.28,0.00,0,99801.75,12.07,0.00
80.298004,8.156577,0.00,4,2017-04-19,13:10:32,135,nan,0.0,0,0.1,17,2.1,158,40.4,36.8,0.28,0.28,0.00,0,99797.25,12.07,0.00
80.297996,8.156581,0.00,4,2017-04-19,13:10:42,180,0.0,0.0,0,0.1,18,2.1,158,40.2,36.9,0.28,0.28,0.00,0,99802.75,12.07,0.00
80.298011,8.156582,0.00,4,2017-04-19,13:10:52,180,nan,0.0,0,0.0,18,2.1,158,39.9,37.1,0.28,0.28,0.00,0,99800.25,12.05,0.00
80.298004,8.156580,0.00,4,2017-04-19,13:11:02,180,nan,0.0,0,0.0,17,2.1,158,39.7,37.2,0.28,0.28,0.00,0,99800.00,12.07,0.00
80.297996,8.156582,0.00,4,2017-04-19,13:11:12,180,nan,0.0,0,0.0,17,2.1,158,39.4,37.2,0.28,0.28,0.00,0,99804.00,12.07,0.00
80.297996,8.156587,0.00,4,2017-04-19,13:11:22,180,nan,0.0,0,0.0,17,2.1,158,39.2,37.4,0.28,0.28,0.00,0,99805.50,12.05,0.00
80.297996,8.156587,0.00,4,2017-04-19,13:11:32,180,nan,0.0,0,0.0,17,2.1,158,39.0,37.5,0.28,0.28,0.00,0,99808.00,12.07,0.00
80.297981,8.156581,0.00,4,2017-04-19,13:11:42,180,nan,0.0,0,0.0,16,2.1,158,38.8,37.6,0.28,0.28,0.00,0,99813.00,12.05,0.00
80.297973,8.156577,0.00,4,2017-04-19,13:11:52,180,0.0,0.0,0,0.0,16,2.1,158,38.6,37.7,0.28,0.28,0.00,0,99810.00,12.07,0.00
80.297966,8.156577,0.00,4,2017-04-19,13:12:02,225,nan,0.0,0,0.0,16,2.1,158,38.4,37.7,0.28,0.28,0.00,0,99813.25,12.10,0.00
80.297973,8.156575,0.00,4,2017-04-19,13:12:12,270,0.0,0.0,0,0.0,18,2.1,158,38.3,37.9,0.28,0.28,0.00,0,99812.50,12.07,0.00
80.297981,8.156574,0.00,4,2017-04-19,13:12:22,203,nan,0.0,0,0.0,18,2.1,158,38.2,37.9,0.28,0.28,0.00,0,99815.75,12.10,0.00
80.297996,8.156558,0.00,4,2017-04-19,13:12:32,180,nan,0.0,0,0.0,19,2.1,158,38.0,38.0,0.28,0.28,0.00,0,99814.50,12.10,0.00
80.298004,8.156546,0.00,4,2017-04-19,13:12:42,225,nan,0.0,0,0.0,19,2.1,158,37.9,38.1,0.28,0.28,0.00,0,99813.25,12.07,0.00
80.297996,8.156539,0.00,4,2017-04-19,13:12:52,180,nan,0.0,0,0.0,19,2.1,158,37.7,38.2,0.28,0.28,0.00,0,99804.50,12.07,0.00
80.297988,8.156552,0.00,4,2017-04-19,13:13:02,180,nan,0.0,0,0.0,19,2.1,158,37.6,38.2,0.28,0.28,0.00,0,99798.50,12.10,0.00
80.297981,8.156547,0.00,4,2017-04-19,13:13:12,180,0.0,0.0,0,0.0,19,2.1,158,37.4,38.3,0.28,0.28,0.00,0,99800.50,12.10,0.00
80.297988,8.156550,0.00,4,2017-04-19,13:13:22,180,nan,0.0,0,0.0,19,2.1,158,37.3,38.4,0.28,0.28,0.00,0,99795.00,12.10,0.00
80.298004,8.156565,0.00,4,2017-04-19,13:13:32,0,0.0,0.0,0,0.0,18,2.1,158,37.2,38.4,0.28,0.28,0.00,0,99794.50,12.10,0.00
80.298011,8.156570,0.00,4,2017-04-19,13:13:42,203,nan,0.0,0,0.0,18,2.1,158,37.1,38.5,0.28,0.28,0.00,0,99793.75,12.10,0.00
80.298019,8.156568,0.00,4,2017-04-19,13:13:52,180,nan,0.0,0,0.0,18,2.1,158,37.1,38.6,0.28,0.28,0.00,0,99792.25,12.10,0.00
80.298019,8.156574,0.00,4,2017-04-19,13:14:02,135,nan,0.0,0,0.0,17,2.1,158,37.0,38.6,0.28,0.28,0.00,0,99794.75,12.10,0.00
80.298027,8.156579,0.00,4,2017-04-19,13:14:12,180,nan,0.0,0,0.0,16,2.1,158,36.8,38.7,0.28,0.28,0.00,0,99793.00,12.10,0.00
80.298034,8.156575,0.00,4,2017-04-19,13:14:22,180,nan,0.0,0,0.0,16,2.1,158,36.8,38.7,0.28,0.28,0.00,0,99795.50,12.10,0.00
80.298042,8.156568,0.00,4,2017-04-19,13:14:32,180,nan,0.0,0,0.0,16,2.1,158,36.7,38.8,0.28,0.28,0.00,0,99794.25,12.10,0.00
80.298042,8.156558,0.00,4,2017-04-19,13:14:42,180,nan,0.0,0,0.0,16,2.1,158,36.6,38.8,0.28,0.28,0.00,0,99793.75,12.10,0.00
80.298042,8.156554,0.00,4,2017-04-19,13:14:52,315,0.0,0.0,0,0.0,17,2.1,158,36.4,38.9,0.28,0.28,0.00,0,99797.00,12.10,0.00
80.298042,8.156560,0.00,4,2017-04-19,13:15:02,135,nan,0.0,0,0.0,17,2.1,158,36.4,38.9,0.28,0.28,0.00,0,99797.50,12.10,0.00
80.298049,8.156572,0.00,4,2017-04-19,13:15:12,180,nan,0.0,0,0.0,17,2.1,158,36.3,39.0,0.28,0.28,0.00,0,99799.75,12.10,0.00
80.298049,8.156571,0.00,4,2017-04-19,13:15:22,180,nan,0.0,0,0.1,17,2.1,158,36.2,39.1,0.28,0.28,0.00,0,99803.00,12.12,0.00
80.298027,8.156568,0.00,4,2017-04-19,13:15:32,225,0.0,0.0,0,0.1,18,2.1,158,36.2,39.1,0.28,0.28,0.00,0,99803.50,12.12,0.00
80.298019,8.156567,0.00,4,2017-04-19,13:15:42,225,nan,0.0,0,0.1,19,2.1,158,36.2,39.1,0.28,0.28,0.00,0,99803.00,12.10,0.00
80.298011,8.156563,0.00,4,2017-04-19,13:15:52,180,0.0,0.0,0,0.0,19,2.1,158,36.1,39.1,0.28,0.28,0.00,0,99805.00,12.10,0.00
80.298011,8.156552,0.00,4,2017-04-19,13:16:02,180,0.0,0.0,0,0.0,19,2.1,158,36.0,39.2,0.28,0.28,0.00,0,99803.50,12.10,0.00
80.298019,8.156547,0.00,4,2017-04-19,13:16:12,180,nan,0.0,0,0.0,19,2.1,158,36.0,39.2,0.28,0.28,0.00,0,99803.75,12.10,0.00
80.298034,8.156540,0.00,4,2017-04-19,13:16:22,180,nan,0.0,0,0.0,19,2.1,158,35.9,39.2,0.28,0.28,0.00,0,99807.25,12.10,0.00
80.298065,8.156532,0.00,4,2017-04-19,13:16:32,180,nan,0.0,0,0.0,19,2.1,158,35.8,39.2,0.28,0.28,0.00,0,99807.50,12.10,0.00
80.298080,8.156538,0.00,4,2017-04-19,13:16:42,180,nan,0.0,0,0.0,19,2.1,158,35.7,39.3,0.28,0.28,0.00,0,99807.00,12.12,0.00
80.298080,8.156538,0.00,4,2017-04-19,13:16:52,135,nan,0.0,0,0.0,18,2.1,158,35.7,39.3,0.28,0.28,0.00,0,99804.25,12.10,0.00
80.298080,8.156525,0.00,4,2017-04-19,13:17:02,135,nan,0.0,0,0.0,18,2.1,158,35.6,39.4,0.28,0.28,0.00,0,99808.25,12.12,0.00
80.298065,8.156527,0.00,4,2017-04-19,13:17:12,135,nan,0.0,0,0.0,17,2.1,158,35.5,39.4,0.28,0.28,0.00,0,99804.50,12.12,0.00
80.298057,8.156533,0.00,4,2017-04-19,13:17:22,225,nan,0.0,0,0.0,18,2.1,158,35.5,39.4,0.28,0.28,0.00,0,99807.50,12.10,0.00
80.298057,8.156528,0.00,4,2017-04-19,13:17:32,225,nan,0.0,0,0.0,18,2.1,158,35.4,39.4,0.28,0.28,0.00,0,99809.75,12.12,0.00
80.298057,8.156520,0.00,4,2017-04-19,13:17:42,225,nan,0.0,0,0.0,18,2.1,158,35.4,39.4,0.28,0.28,0.00,0,99807.00,12.12,0.00
80.298057,8.156510,0.00,4,2017-04-19,13:17:52,225,nan,0.0,0,0.0,18,2.1,158,35.5,39.5,0.28,0.28,0.00,0,99809.75,12.10,0.00
80.298049,8.156506,0.00,4,2017-04-19,13:18:02,225,0.0,0.0,0,0.0,18,2.1,225,35.5,39.5,0.28,0.28,0.00,0,99809.75,12.12,0.00
80.298049,8.156501,0.00,4,2017-04-19,13:18:12,225,nan,0.0,0,0.0,19,2.1,225,35.7,39.5,0.28,0.28,0.00,0,99814.00,12.12,0.00
80.298049,8.156512,0.00,4,2017-04-19,13:18:22,203,0.0,0.0,0,0.1,19,2.1,225,35.6,39.5,0.28,0.28,0.00,0,99810.25,12.12,0.00
80.298049,8.156520,0.00,4,2017-04-19,13:18:32,180,0.0,0.0,0,0.1,19,2.1,225,35.5,39.6,0.28,0.28,0.00,0,99810.50,12.10,0.00
80.298065,8.156531,0.00,4,2017-04-19,13:18:42,180,0.0,0.0,0,0.1,19,2.1,225,35.4,39.6,0.28,0.28,0.00,0,99811.75,12.12,0.00
80.298080,8.156543,0.00,4,2017-04-19,13:18:52,180,nan,0.0,0,0.1,19,2.1,225,35.4,39.6,0.28,0.28,0.00,0,99811.25,12.12,0.00
80.298088,8.156550,0.00,4,2017-04-19,13:19:02,180,nan,0.0,0,0.1,20,2.1,225,35.3,39.6,0.28,0.28,0.00,0,99812.25,12.12,0.00
80.298103,8.156553,0.00,4,2017-04-19,13:19:12,180,0.0,0.0,0,0.1,20,2.1,225,35.3,39.6,0.28,0.28,0.00,0,99817.25,12.12,0.00
80.298110,8.156555,0.00,4,2017-04-19,13:19:22,180,nan,0.0,0,0.1,20,2.1,225,35.2,39.6,0.28,0.28,0.00,0,99813.75,12.12,0.00
80.298118,8.156553,0.00,4,2017-04-19,13:19:32,180,0.0,0.0,0,0.1,19,2.1,225,35.2,39.6,0.28,0.28,0.00,0,99816.25,12.12,0.00
80.298126,8.156552,0.00,4,2017-04-19,13:19:42,180,nan,0.0,0,0.0,19,2.1,225,35.1,39.7,0.28,0.28,0.00,0,99815.50,12.12,0.00
80.298126,8.156543,0.00,4,2017-04-19,13:19:52,135,nan,0.0,0,0.0,18,2.1,225,35.1,39.7,0.28,0.28,0.00,0,99817.50,12.12,0.00
80.298126,8.156534,0.00,4,2017-04-19,13:20:02,135,nan,0.0,0,0.0,17,2.1,225,35.0,39.7,0.28,0.28,0.00,0,99814.25,12.12,0.00
