lon,lat,altitude,sats,date,GMTtime,winddir,windspeedms,windgustms,windspdms_avg2m,winddir_avg2m,windgustms_10m,windgustdir_10m,humidity,tempc,raindailymm,rainhourmm,rain5mmm,rainindicate,pressure,batt_lvl,light_lvl
0.000000,0.000000,0.00,0,2016-08-27,13:02:03,180,nan,0.0,0,0.0,1,0.2,180,64.8,-999.0,0.00,0.00,0.00,0,0.00,12.02,0.00
0.000000,0.000000,0.00,0,2016-08-27,13:02:13,180,nan,0.0,0,0.0,3,0.9,180,63.9,29.6,0.00,0.00,0.00,0,99747.50,12.02,0.00
0.000000,0.000000,0.00,0,2016-08-27,13:02:23,180,nan,0.0,0,0.0,4,0.9,180,63.0,29.9,0.00,0.00,0.00,0,99753.75,12.02,0.00
80.297851,8.156830,0.00,0,2016-08-27,13:02:33,90,nan,0.0,0,0.0,5,0.9,180,62.1,30.2,0.00,0.00,0.00,0,99752.75,12.02,0.00
80.298057,8.156507,0.00,0,2016-08-27,13:02:43,270,nan,0.0,0,0.0,7,0.9,180,61.3,30.5,0.00,0.00,0.00,0,99759.00,12.01,0.00
80.298042,8.156523,0.00,0,2016-08-27,13:02:53,0,nan,0.0,0,0.0,7,0.9,180,60.5,30.7,0.00,0.00,0.00,0,99756.00,12.01,0.00
80.298042,8.156513,0.00,0,2016-08-27,13:03:03,45,nan,0.0,0,0.0,7,1.0,45,59.7,31.0,0.00,0.00,0.00,0,99760.50,12.01,0.00
80.298034,8.156509,0.00,0,2016-08-27,13:03:13,90,nan,0.0,0,0.0,8,1.2,90,59.0,31.3,0.00,0.00,0.00,0,99774.25,12.01,0.00
80.298019,8.156524,0.00,0,2016-08-27,13:03:23,270,nan,0.0,0,0.0,10,1.3,270,58.3,31.6,0.00,0.00,0.00,0,99758.25,12.01,0.00
80.297988,8.156538,0.00,0,2016-08-27,13:03:33,225,nan,0.0,0,0.0,12,1.6,225,57.6,31.8,0.00,0.00,0.00,0,99755.75,12.01,0.00
80.298004,8.156527,0.00,0,2016-08-27,13:03:43,180,nan,0.0,0,0.0,14,2.0,180,56.9,32.1,0.00,0.00,0.00,0,99759.00,12.01,0.00
80.298004,8.156534,0.00,0,2016-08-27,13:03:53,180,nan,0.0,0,0.0,15,2.0,180,56.4,32.3,0.00,0.00,0.00,0,99762.75,12.01,0.00
80.298004,8.156547,0.00,0,2016-08-27,13:04:03,158,nan,0.0,0,0.1,15,2.0,180,55.9,32.5,0.00,0.00,0.00,0,99766.00,12.01,0.00
80.298004,8.156562,0.00,0,2016-08-27,13:04:13,225,nan,0.0,0,0.1,15,2.0,180,55.3,32.7,0.00,0.00,0.00,0,99768.75,12.01,0.00
80.298011,8.156573,0.00,0,2016-08-27,13:04:23,225,nan,0.0,0,0.1,16,2.0,180,54.7,32.9,0.00,0.00,0.00,0,99779.25,12.01,0.00
80.298011,8.156574,0.00,0,2016-08-27,13:04:33,225,nan,0.0,0,0.1,17,2.0,180,54.3,33.1,0.00,0.00,0.00,0,99769.50,12.01,0.00
80.298011,8.156578,0.00,0,2016-08-27,13:04:43,180,nan,0.0,0,0.1,16,2.0,180,53.7,33.3,0.00,0.00,0.00,0,99771.00,12.01,0.00
80.298034,8.156567,0.00,0,2016-08-27,13:04:53,203,0.0,0.0,0,0.1,18,2.0,180,53.2,33.6,0.00,0.00,0.00,0,99777.25,12.01,0.00
80.298049,8.156564,0.00,0,2016-08-27,13:05:03,180,0.0,0.0,0,0.1,19,2.0,180,52.9,33.7,0.00,0.00,0.00,0,99770.00,12.01,0.00
80.298057,8.156552,0.00,0,2016-08-27,13:05:13,180,nan,0.0,0,0.1,20,2.0,180,52.4,33.9,0.00,0.00,0.00,0,99775.00,12.03,0.00
80.298049,8.156543,0.00,0,2016-08-27,13:05:23,225,0.0,0.0,0,0.1,19,2.0,180,52.0,34.1,0.00,0.00,0.00,0,99779.00,12.01,0.00
80.298057,8.156539,0.00,0,2016-08-27,13:05:33,180,nan,0.0,0,0.1,19,2.0,180,51.6,34.2,0.00,0.00,0.00,0,99783.50,12.03,0.00
80.298065,8.156542,0.00,0,2016-08-27,13:05:43,180,nan,0.0,0,0.1,19,2.0,180,51.2,34.4,0.00,0.00,0.00,0,99784.25,12.03,0.00
80.298065,8.156538,0.00,0,2016-08-27,13:05:53,180,nan,0.0,0,0.0,19,2.0,180,50.8,34.6,0.00,0.00,0.00,0,99782.25,12.03,0.00
80.298049,8.156530,0.00,0,2016-08-27,13:06:03,180,0.0,0.0,0,0.0,19,2.0,180,50.4,34.7,0.00,0.00,0.00,0,99782.50,12.01,0.00
80.298049,8.156519,0.00,0,2016-08-27,13:06:13,180,nan,0.0,0,0.0,19,2.0,180,50.0,34.9,0.00,0.00,0.00,0,99780.00,12.03,0.00
80.298034,8.156523,0.00,0,2016-08-27,13:06:23,135,nan,0.0,0,0.0,18,2.0,180,49.7,35.1,0.00,0.00,0.00,0,99780.00,12.05,0.00
80.298027,8.156534,0.00,0,2016-08-27,13:06:33,135,nan,0.0,0,0.0,17,2.0,180,49.4,35.2,0.00,0.00,0.00,0,99777.25,12.05,0.00
80.298019,8.156538,0.00,0,2016-08-27,13:06:43,135,nan,0.0,0,0.0,17,2.0,180,49.1,35.3,0.00,0.00,0.00,0,99773.50,12.05,0.00
80.298027,8.156537,0.00,0,2016-08-27,13:06:53,180,nan,0.0,0,0.0,17,2.0,180,48.8,35.4,0.00,0.00,0.00,0,99769.50,12.05,0.00
80.298019,8.156541,0.00,0,2016-08-27,13:07:03,180,0.0,0.0,0,0.0,17,2.0,180,48.5,35.6,0.00,0.00,0.00,0,99770.50,12.03,0.00
80.298027,8.156545,0.00,0,2016-08-27,13:07:13,180,nan,0.0,0,0.0,17,2.0,180,48.3,35.7,0.00,0.00,0.00,0,99770.00,12.03,0.00
80.298042,8.156544,0.00,0,2016-08-27,13:07:23,180,nan,0.0,0,0.0,16,2.0,180,48.0,35.7,0.00,0.00,0.00,0,99763.50,12.03,0.00
80.298034,8.156552,0.00,0,2016-08-27,13:07:33,180,nan,0.0,0,0.0,16,2.0,180,47.8,35.8,0.00,0.00,0.00,0,99759.00,12.05,0.00
80.298034,8.156559,0.00,0,2016-08-27,13:07:43,338,nan,0.0,0,0.0,18,2.0,180,47.5,35.9,0.00,0.00,0.00,0,99764.00,12.05,0.00
80.298042,8.156558,0.00,0,2016-08-27,13:07:53,158,nan,0.0,0,0.0,18,2.0,180,47.3,36.1,0.00,0.00,0.00,0,99763.75,12.05,0.00
80.298049,8.156561,0.00,0,2016-08-27,13:08:03,68,0.0,0.0,0,0.0,17,2.0,180,47.2,36.1,0.00,0.00,0.00,0,99768.00,12.08,0.00
80.298042,8.156565,0.00,0,2016-08-27,13:08:13,180,nan,0.0,0,0.0,17,2.0,180,46.9,36.2,0.00,0.00,0.00,0,99769.50,12.05,0.00
80.298034,8.156571,0.00,0,2016-08-27,13:08:23,180,nan,0.0,0,0.0,17,2.0,180,46.8,36.3,0.00,0.00,0.00,0,99773.25,12.08,0.00
80.298019,8.156578,0.00,0,2016-08-27,13:08:33,180,nan,0.0,0,0.1,17,2.0,180,46.6,36.4,0.00,0.00,0.00,0,99770.75,12.05,0.00
80.298011,8.156580,0.00,0,2016-08-27,13:08:43,180,0.0,0.0,0,0.1,18,2.0,180,46.4,36.5,0.00,0.00,0.00,0,99772.50,12.08,0.00
80.298004,8.156579,0.00,0,2016-08-27,13:08:53,90,nan,0.0,0,0.0,17,2.0,180,46.2,36.6,0.00,0.00,0.00,0,99764.50,12.08,0.00
80.298004,8.156581,0.00,0,2016-08-27,13:09:03,135,nan,0.0,0,0.1,17,2.0,180,46.0,36.6,0.00,0.00,0.00,0,99766.00,12.08,0.00
