lon,lat,altitude,sats,date,GMTtime,winddir,windspeedms,windgustms,windspdms_avg2m,winddir_avg2m,windgustms_10m,windgustdir_10m,humidity,tempc,raindailymm,rainhourmm,rain5mmm,rainindicate,pressure,batt_lvl,light_lvl
0.000000,0.000000,0.00,0,2016-05-22,13:12:05,180,nan,0.0,0,0.0,128,0.0,0,87.7,-999.0,0.00,0.00,0.00,0,0.00,11.98,0.00
0.000000,0.000000,0.00,0,2016-05-22,13:12:14,180,nan,0.0,0,0.0,119,0.0,0,86.7,30.6,0.00,0.00,0.00,0,99816.50,11.98,0.00
0.000000,0.000000,0.00,0,2016-05-22,13:12:25,180,nan,0.0,0,0.0,121,0.0,0,85.5,30.8,0.00,0.00,0.00,0,99820.75,11.98,0.00
80.297599,8.156416,0.00,3,2016-05-22,13:12:35,180,nan,0.0,0,0.0,364,0.0,0,84.5,31.1,0.00,0.00,0.00,0,99817.75,12.01,0.00
80.297615,8.156401,0.00,3,2016-05-22,13:12:45,0,nan,0.0,0,0.0,20,0.0,0,83.4,31.4,0.00,0.00,0.00,0,99824.50,11.98,0.00
80.297622,8.156417,0.00,3,2016-05-22,13:12:55,180,nan,0.0,0,0.0,22,0.0,0,82.5,31.6,0.00,0.00,0.00,0,99830.00,12.01,0.00
80.297554,8.156401,0.00,3,2016-05-22,13:13:05,180,nan,0.0,0,0.0,515,0.0,0,81.6,31.9,0.00,0.00,0.00,0,99815.00,12.01,0.00
80.297515,8.156432,0.00,3,2016-05-22,13:13:15,0,nan,0.0,0,0.0,469,0.0,0,80.8,32.1,0.00,0.00,0.00,0,99818.75,11.99,0.00
80.297554,8.156471,0.00,3,2016-05-22,13:13:25,135,nan,0.0,0,0.0,470,0.0,0,80.0,32.3,0.00,0.00,0.00,0,99817.00,11.99,0.00
80.298042,8.156584,0.00,5,2016-05-22,13:13:35,180,nan,0.0,0,0.0,471,0.0,0,79.2,32.6,0.00,0.00,0.00,0,99823.25,12.01,0.00
80.298011,8.156569,0.00,5,2016-05-22,13:13:45,180,nan,0.0,0,0.0,473,0.0,0,78.4,32.7,0.00,0.00,0.00,0,99822.00,12.01,0.00
80.298011,8.156558,0.00,5,2016-05-22,13:13:55,225,nan,0.0,0,0.0,475,0.0,0,77.7,33.0,0.00,0.00,0.00,0,99827.25,12.01,0.00
80.298011,8.156558,0.00,5,2016-05-22,13:14:05,180,nan,0.0,0,0.0,475,0.0,0,77.1,33.2,0.00,0.00,0.00,0,99832.50,12.01,0.00
80.298004,8.156551,0.00,5,2016-05-22,13:14:15,180,nan,0.0,0,0.0,516,0.0,0,76.5,33.4,0.00,0.00,0.00,0,99825.75,12.01,0.00
80.297988,8.156548,0.00,5,2016-05-22,13:14:25,180,nan,0.0,0,0.0,516,0.0,0,75.9,33.6,0.00,0.00,0.00,0,99821.25,11.99,0.00
80.297958,8.156553,0.00,5,2016-05-22,13:14:35,180,0.0,0.0,0,0.0,516,0.0,0,75.3,33.7,0.00,0.00,0.00,0,99825.25,11.99,0.00
80.297950,8.156555,0.00,5,2016-05-22,13:14:45,180,nan,0.0,0,0.0,518,0.0,0,74.8,33.9,0.00,0.00,0.00,0,99822.00,11.99,0.00
80.297958,8.156569,0.00,5,2016-05-22,13:14:55,180,nan,0.0,0,0.0,518,0.0,0,74.3,34.1,0.00,0.00,0.00,0,99824.25,12.03,0.00
80.297973,8.156578,0.00,5,2016-05-22,13:15:05,180,nan,0.0,0,0.0,516,0.0,0,73.8,34.2,0.00,0.00,0.00,0,99830.00,12.01,0.00
80.297958,8.156573,0.00,5,2016-05-22,13:15:15,180,nan,0.0,0,0.0,703,0.0,0,73.3,34.4,0.00,0.00,0.00,0,99837.00,12.03,0.00
80.297950,8.156571,0.00,5,2016-05-22,13:15:25,45,nan,0.0,0,0.0,703,0.0,0,72.9,34.6,0.00,0.00,0.00,0,99835.50,12.03,0.00
80.297950,8.156571,0.00,5,2016-05-22,13:15:35,68,nan,0.0,0,0.0,702,0.0,0,72.5,34.7,0.00,0.00,0.00,0,99835.00,12.03,0.00
80.297950,8.156571,0.00,5,2016-05-22,13:15:45,225,nan,0.0,0,0.0,702,0.0,0,72.1,34.8,0.00,0.00,0.00,0,99833.75,12.03,0.00
80.297935,8.156565,0.00,5,2016-05-22,13:15:55,225,nan,0.0,0,0.0,702,0.0,0,71.7,34.9,0.00,0.00,0.00,0,99837.00,12.05,0.00
80.297935,8.156558,0.00,5,2016-05-22,13:16:05,225,nan,0.0,0,0.0,653,0.0,0,71.3,35.1,0.00,0.00,0.00,0,99832.75,12.03,0.00
80.297950,8.156559,0.00,5,2016-05-22,13:16:13,180,nan,0.0,0,0.0,718,0.0,0,71.0,35.2,0.00,0.00,0.00,0,99833.75,12.04,0.00
80.297966,8.156565,0.00,5,2016-05-22,13:16:23,68,nan,0.0,0,0.0,1031,0.0,0,70.7,35.2,0.00,0.00,0.00,0,99837.75,12.04,0.00
80.297973,8.156570,0.00,5,2016-05-22,13:16:33,315,nan,0.0,0,0.0,1032,0.0,0,70.4,35.4,0.00,0.00,0.00,0,99833.50,12.04,0.00
80.297996,8.156580,0.00,5,2016-05-22,13:16:43,180,nan,0.0,0,0.0,1032,0.0,0,70.1,35.4,0.00,0.00,0.00,0,99827.00,12.01,0.00
80.297988,8.156588,0.00,5,2016-05-22,13:16:53,135,0.0,0.0,0,0.0,672,0.0,0,69.9,35.6,0.00,0.00,0.00,0,99823.50,12.05,0.00
80.297973,8.156594,0.00,5,2016-05-22,13:17:03,180,nan,0.0,0,0.0,926,0.0,0,69.6,35.6,0.00,0.00,0.00,0,99821.25,12.04,0.00
80.297966,8.156594,0.00,5,2016-05-22,13:17:13,135,0.0,0.0,0,0.0,1033,0.0,0,69.4,35.7,0.00,0.00,0.00,0,99823.50,12.05,0.00
80.297958,8.156598,0.00,5,2016-05-22,13:17:23,180,0.0,0.0,0,0.0,1034,0.0,0,69.1,35.8,0.00,0.00,0.00,0,99815.50,12.05,0.00
80.297958,8.156599,0.00,5,2016-05-22,13:17:33,180,0.0,0.0,0,0.0,1035,0.0,0,68.8,35.9,0.00,0.00,0.00,0,99814.50,12.05,0.00
80.297966,8.156611,0.00,5,2016-05-22,13:17:43,135,nan,0.0,0,0.0,1034,0.0,0,68.5,36.0,0.00,0.00,0.00,0,99812.00,12.05,0.00
80.297973,8.156606,0.00,5,2016-05-22,13:17:53,135,nan,0.0,0,0.0,1033,0.0,0,68.3,36.1,0.00,0.00,0.00,0,99814.25,12.04,0.00
80.297973,8.156590,0.00,5,2016-05-22,13:18:03,135,nan,0.0,0,0.0,1033,0.0,0,68.1,36.2,0.00,0.00,0.00,0,99816.75,12.08,0.00
80.297981,8.156578,0.00,5,2016-05-22,13:18:13,135,nan,0.0,0,0.0,923,0.0,0,67.8,36.3,0.00,0.00,0.00,0,99821.50,12.08,0.00
80.297981,8.156567,0.00,5,2016-05-22,13:18:23,135,nan,0.0,0,0.0,924,0.0,0,67.6,36.4,0.00,0.00,0.00,0,99819.75,12.06,0.00
80.297981,8.156559,0.00,5,2016-05-22,13:18:33,135,0.0,0.0,0,0.0,922,0.0,0,67.4,36.4,0.00,0.00,0.00,0,99822.50,12.08,0.00
80.297981,8.156557,0.00,5,2016-05-22,13:18:43,135,0.0,0.0,0,0.0,922,0.0,0,67.2,36.5,0.00,0.00,0.00,0,99822.75,12.08,0.00
80.297973,8.156556,0.00,5,2016-05-22,13:18:53,135,nan,0.0,0,0.0,922,0.0,0,67.0,36.6,0.00,0.00,0.00,0,99818.00,12.05,0.00
80.297973,8.156554,0.00,5,2016-05-22,13:19:03,180,nan,0.0,0,0.0,1012,0.0,0,66.9,36.6,0.00,0.00,0.00,0,99821.50,12.08,0.00
80.297973,8.156549,0.00,5,2016-05-22,13:19:13,135,nan,0.0,0,0.0,1357,0.0,0,66.7,36.7,0.00,0.00,0.00,0,99821.00,12.08,0.00
80.297981,8.156539,0.00,5,2016-05-22,13:19:23,135,0.0,0.0,0,0.0,1357,0.0,0,66.5,36.7,0.00,0.00,0.00,0,99819.00,12.08,0.00
80.297996,8.156539,0.00,5,2016-05-22,13:19:33,225,nan,0.0,0,0.0,1412,0.0,0,66.3,36.8,0.00,0.00,0.00,0,99821.00,12.08,0.00
80.297996,8.156538,0.00,5,2016-05-22,13:19:43,135,nan,0.0,0,0.0,1412,0.0,0,66.2,36.9,0.00,0.00,0.00,0,99819.25,12.06,0.00
80.297988,8.156533,0.00,5,2016-05-22,13:19:53,180,nan,0.0,0,0.0,1412,0.0,0,66.1,36.9,0.00,0.00,0.00,0,99820.25,12.10,0.00
80.297981,8.156534,0.00,5,2016-05-22,13:20:03,135,nan,0.0,0,0.0,1412,0.0,0,65.9,37.0,0.00,0.00,0.00,0,99827.25,12.06,0.00
80.297988,8.156535,0.00,5,2016-05-22,13:20:13,135,nan,0.0,0,0.0,1412,1.0,135,65.8,37.1,0.00,0.00,0.00,0,99824.50,12.10,0.00
80.297988,8.156535,0.00,5,2016-05-22,13:20:23,135,nan,0.0,0,0.0,1412,1.0,135,65.6,37.1,0.00,0.00,0.00,0,99821.25,12.09,0.00
80.297996,8.156538,0.00,5,2016-05-22,13:20:33,135,nan,0.0,0,0.1,1412,1.2,135,65.5,37.2,0.00,0.00,0.00,0,99821.50,12.10,0.00
80.298004,8.156534,0.00,5,2016-05-22,13:20:43,180,nan,0.0,0,0.1,1412,1.3,180,65.4,37.2,0.00,0.00,0.00,0,99820.75,12.10,0.00
80.298004,8.156533,0.00,5,2016-05-22,13:20:53,180,nan,0.0,0,0.1,1413,1.3,180,65.2,37.2,0.00,0.00,0.00,0,99820.25,12.08,0.00
80.298011,8.156537,0.00,5,2016-05-22,13:21:02,270,nan,0.0,0,0.1,1414,1.3,180,65.0,37.3,0.00,0.00,0.00,0,99819.00,12.08,0.00
80.298011,8.156536,0.00,5,2016-05-22,13:21:12,180,0.0,0.0,0,0.1,1414,1.3,180,64.9,37.4,0.00,0.00,0.00,0,99820.75,12.10,0.00
80.297988,8.156527,0.00,5,2016-05-22,13:21:22,180,nan,0.0,0,0.1,1414,1.3,180,64.8,37.4,0.00,0.00,0.00,0,99822.00,12.10,0.00
80.297996,8.156528,0.00,5,2016-05-22,13:21:32,225,nan,0.0,0,0.1,1414,1.3,180,64.7,37.4,0.00,0.00,0.00,0,99827.25,12.10,0.00
80.298004,8.156534,0.00,5,2016-05-22,13:21:42,225,nan,0.0,0,0.0,1415,1.3,180,64.6,37.4,0.00,0.00,0.00,0,99822.75,12.10,0.00
80.297988,8.156525,0.00,5,2016-05-22,13:21:52,180,nan,0.0,0,0.1,1415,1.3,180,64.5,37.5,0.00,0.00,0.00,0,99825.00,12.10,0.00
80.297973,8.156511,0.00,5,2016-05-22,13:22:02,225,nan,0.0,0,0.0,1416,1.3,180,64.5,37.6,0.00,0.00,0.00,0,99828.50,12.10,0.00
80.297996,8.156533,0.00,5,2016-05-22,13:22:12,203,nan,0.0,0,0.0,1416,1.3,180,64.4,37.6,0.00,0.00,0.00,0,99824.75,12.10,0.00
80.298004,8.156547,0.00,5,2016-05-22,13:22:22,180,0.0,0.0,0,0.0,1417,1.3,180,64.3,37.6,0.00,0.00,0.00,0,99829.50,12.10,0.00
80.298027,8.156569,0.00,5,2016-05-22,13:22:32,180,nan,0.0,0,0.0,1417,1.3,180,64.3,37.6,0.00,0.00,0.00,0,99830.75,12.10,0.00
80.298042,8.156568,0.00,5,2016-05-22,13:22:42,180,0.0,0.0,0,0.0,1417,1.3,180,64.2,37.7,0.00,0.00,0.00,0,99833.25,12.10,0.00
80.298103,8.156561,0.00,5,2016-05-22,13:22:52,180,0.0,0.0,0,0.0,1417,1.3,180,64.1,37.7,0.00,0.00,0.00,0,99833.75,12.10,0.00
80.298133,8.156558,0.00,5,2016-05-22,13:23:02,180,0.0,0.0,0,0.0,1416,1.3,180,64.0,37.7,0.00,0.00,0.00,0,99835.75,12.10,0.00
80.298133,8.156566,0.00,5,2016-05-22,13:23:12,135,nan,0.0,0,0.0,1416,1.3,180,64.0,37.7,0.00,0.00,0.00,0,99836.25,12.10,0.00
80.298126,8.156579,0.00,5,2016-05-22,13:23:22,135,nan,0.0,0,0.0,1416,1.3,180,63.9,37.7,0.00,0.00,0.00,0,99835.00,12.10,0.00
80.298133,8.156582,0.00,5,2016-05-22,13:23:32,180,nan,0.0,0,0.0,1415,1.3,180,63.9,37.8,0.00,0.00,0.00,0,99835.75,12.13,0.00
80.298141,8.156587,0.00,5,2016-05-22,13:23:42,180,nan,0.0,0,0.0,1415,1.3,180,63.8,37.8,0.00,0.00,0.00,0,99834.50,12.13,0.00
80.298141,8.156596,0.00,5,2016-05-22,13:23:52,180,nan,0.0,0,0.0,1415,1.3,180,63.7,37.9,0.00,0.00,0.00,0,99834.75,12.13,0.00
80.298149,8.156593,0.00,5,2016-05-22,13:24:02,180,nan,0.0,0,0.0,1415,1.3,180,63.7,37.9,0.00,0.00,0.00,0,99838.25,12.13,0.00
80.298156,8.156596,0.00,5,2016-05-22,13:24:12,180,nan,0.0,0,0.0,1414,1.3,180,63.7,37.9,0.00,0.00,0.00,0,99834.00,12.10,0.00
80.298118,8.156598,0.00,5,2016-05-22,13:24:22,180,nan,0.0,0,0.0,1414,1.3,180,63.6,37.9,0.00,0.00,0.00,0,99835.25,12.10,0.00
80.298095,8.156589,0.00,5,2016-05-22,13:24:32,225,nan,0.0,0,0.0,1415,1.3,180,63.5,37.9,0.00,0.00,0.00,0,99839.25,12.13,0.00
80.298110,8.156580,0.00,5,2016-05-22,13:24:42,135,nan,0.0,0,0.0,1414,1.3,180,63.5,37.9,0.00,0.00,0.00,0,99838.50,12.10,0.00
