lon,lat,altitude,sats,date,GMTtime,winddir,windspeedms,windgustms,windspdms_avg2m,winddir_avg2m,windgustms_10m,windgustdir_10m,humidity,tempc,raindailymm,rainhourmm,rain5mmm,rainindicate,pressure,batt_lvl,light_lvl
80.298019,8.156491,0.00,0,2017-02-14,13:05:08,90,0.0,0.0,0,0.0,0,0.1,90,87.3,-999.0,0.28,0.28,0.28,0,0.00,12.10,0.00
80.298004,8.156500,0.00,0,2017-02-14,13:05:18,180,nan,0.0,0,0.0,2,0.6,180,86.1,27.6,0.28,0.28,0.28,0,100395.25,12.10,0.00
80.297981,8.156515,0.00,0,2017-02-14,13:05:28,180,nan,0.0,0,0.0,3,0.7,180,84.9,27.8,0.28,0.28,0.28,0,100397.25,12.12,0.00
80.297973,8.156517,0.00,0,2017-02-14,13:05:38,45,nan,0.0,0,0.0,4,1.2,45,83.7,28.1,0.28,0.28,0.28,0,100392.25,12.10,0.00
80.297973,8.156511,0.00,0,2017-02-14,13:05:48,45,nan,0.0,0,0.0,4,1.2,45,82.6,28.4,0.28,0.28,0.28,0,100397.50,12.10,0.00
80.297973,8.156510,0.00,0,2017-02-14,13:05:58,180,0.0,0.0,0,0.0,6,1.2,45,81.6,28.7,0.28,0.28,0.28,0,100405.00,12.12,0.00
80.297973,8.156499,0.00,0,2017-02-14,13:06:08,135,0.0,0.0,0,0.0,7,1.2,45,80.7,28.9,0.28,0.28,0.28,0,100410.00,12.10,0.00
80.297966,8.156478,0.00,0,2017-02-14,13:06:18,135,nan,0.0,0,0.0,8,1.2,45,79.7,29.2,0.28,0.28,0.28,0,100401.25,12.07,0.00
80.297966,8.156500,0.00,0,2017-02-14,13:06:28,45,0.0,0.0,0,0.0,8,1.2,45,78.8,29.4,0.28,0.28,0.28,0,100403.00,12.10,0.00
80.297943,8.156496,0.00,0,2017-02-14,13:06:38,90,nan,0.0,0,0.0,9,1.3,90,77.9,29.7,0.28,0.28,0.28,0,100412.50,12.10,0.00
80.297943,8.156493,0.00,0,2017-02-14,13:06:48,45,nan,0.0,0,0.0,9,1.3,90,77.0,29.9,0.28,0.28,0.28,0,100416.50,12.10,0.00
80.297958,8.156513,0.00,0,2017-02-14,13:06:58,180,0.0,0.0,0,0.0,11,1.3,90,76.2,30.2,0.28,0.28,0.28,0,100406.50,12.10,0.00
80.298011,8.156579,0.00,0,2017-02-14,13:07:08,45,nan,0.0,0,0.1,10,1.3,90,75.4,30.4,0.28,0.28,0.28,0,100398.50,12.10,0.00
80.298027,8.156601,0.00,0,2017-02-14,13:07:18,45,nan,0.0,0,0.1,9,1.3,90,74.7,30.6,0.28,0.28,0.28,0,100397.50,12.12,0.00
80.298027,8.156599,0.00,0,2017-02-14,13:07:28,45,nan,0.0,0,0.1,8,1.3,90,74.0,30.8,0.28,0.28,0.28,0,100400.50,12.10,0.00
80.298019,8.156597,0.00,0,2017-02-14,13:07:38,45,nan,0.0,0,0.0,8,1.3,90,73.4,31.1,0.28,0.28,0.28,0,100399.75,12.10,0.00
80.298004,8.156603,0.00,0,2017-02-14,13:07:48,45,nan,0.0,0,0.0,8,1.3,90,72.8,31.2,0.28,0.28,0.28,0,100406.25,12.12,0.00
80.298004,8.156594,0.00,0,2017-02-14,13:07:58,90,nan,0.0,0,0.0,7,1.3,90,72.2,31.4,0.28,0.28,0.28,0,100409.00,12.10,0.00
80.297996,8.156594,0.00,0,2017-02-14,13:08:08,45,nan,0.0,0,0.0,7,1.3,90,71.7,31.6,0.28,0.28,0.28,0,100413.50,12.10,0.00
80.298004,8.156584,0.00,0,2017-02-14,13:08:18,180,nan,0.0,0,0.0,7,1.3,90,71.2,31.7,0.28,0.28,0.28,0,100404.75,12.10,0.00
80.298011,8.156562,0.00,0,2017-02-14,13:08:28,180,nan,0.0,0,0.0,8,1.3,90,70.6,31.9,0.28,0.28,0.28,0,100394.75,12.10,0.00
80.298004,8.156546,0.00,0,2017-02-14,13:08:38,135,nan,0.0,0,0.0,9,1.3,90,70.1,32.1,0.28,0.28,0.28,0,100394.50,12.07,0.00
80.297996,8.156539,0.00,0,2017-02-14,13:08:48,23,nan,0.0,0,0.0,8,1.4,23,69.6,32.2,0.28,0.28,0.28,0,100404.00,12.10,0.00
80.297996,8.156537,0.00,0,2017-02-14,13:08:58,315,0.0,0.0,0,0.0,9,1.4,23,69.1,32.4,0.28,0.28,0.28,0,100400.75,12.10,0.00
80.297996,8.156538,0.00,0,2017-02-14,13:09:08,0,0.0,0.0,0,0.0,9,1.4,23,68.6,32.6,0.28,0.28,0.00,0,100397.00,12.10,0.00
80.298004,8.156539,0.00,0,2017-02-14,13:09:18,135,nan,0.0,0,0.0,10,1.4,23,68.2,32.7,0.28,0.28,0.00,0,100389.50,12.10,0.00
80.298004,8.156546,0.00,0,2017-02-14,13:09:28,90,nan,0.0,0,0.0,10,1.4,23,67.8,32.8,0.28,0.28,0.00,0,100389.00,12.10,0.00
80.297996,8.156545,0.00,0,2017-02-14,13:09:38,270,nan,0.0,0,0.0,12,1.4,23,67.5,33.0,0.28,0.28,0.00,0,100395.50,12.10,0.00
80.297988,8.156547,0.00,0,2017-02-14,13:09:48,90,nan,0.0,0,0.0,12,1.4,23,67.1,33.1,0.28,0.28,0.00,0,100393.75,12.07,0.00
80.297988,8.156550,0.00,0,2017-02-14,13:09:58,90,nan,0.0,0,0.0,12,1.4,23,66.8,33.2,0.28,0.28,0.00,0,100396.00,12.10,0.00
