lon,lat,altitude,sats,date,GMTtime,winddir,windspeedms,windgustms,windspdms_avg2m,winddir_avg2m,windgustms_10m,windgustdir_10m,humidity,tempc,raindailymm,rainhourmm,rain5mmm,rainindicate,pressure,batt_lvl,light_lvl
80.297821,8.156661,0.00,0,2017-04-11,13:02:33,45,nan,0.0,0,0.0,0,0.1,45,68.9,-999.0,0.28,0.28,0.28,1,0.00,12.04,0.00
80.297851,8.156669,0.00,0,2017-04-11,13:02:44,45,nan,0.0,0,0.0,0,0.4,45,67.8,29.1,0.28,0.28,0.28,1,99788.75,12.04,0.00
80.297859,8.156661,0.00,0,2017-04-11,13:02:54,45,nan,0.0,0,0.0,1,0.4,45,66.8,29.4,0.28,0.28,0.28,1,99800.00,12.02,0.00
80.298004,8.156509,0.00,4,2017-04-11,13:03:04,45,nan,0.0,0,0.0,1,0.4,45,65.9,29.7,0.28,0.28,0.28,1,99790.00,12.05,0.00
80.298011,8.156519,0.00,4,2017-04-11,13:03:14,45,nan,0.0,0,0.0,1,0.4,45,65.0,30.0,0.28,0.28,0.28,1,99782.00,12.02,0.00
80.298004,8.156538,0.00,4,2017-04-11,13:03:24,45,nan,0.0,0,0.0,2,0.4,45,64.1,30.3,0.28,0.28,0.28,1,99783.00,12.02,0.00
80.298004,8.156553,0.00,4,2017-04-11,13:03:34,45,nan,0.0,0,0.0,2,0.4,45,63.3,30.6,0.28,0.28,0.28,1,99785.75,12.02,0.00
80.298011,8.156564,0.00,4,2017-04-11,13:03:44,135,nan,0.0,0,0.0,3,0.4,45,62.5,30.8,0.28,0.28,0.28,1,99786.50,12.02,0.00
80.297988,8.156558,0.00,4,2017-04-11,13:03:54,135,nan,0.0,0,0.0,4,1.0,135,61.6,31.1,0.28,0.28,0.28,1,99784.50,12.02,0.00
80.297981,8.156558,0.00,4,2017-04-11,13:04:04,135,nan,0.0,0,0.0,6,1.0,135,60.9,31.4,0.28,0.28,0.28,1,99792.50,12.02,0.00
80.297981,8.156550,0.00,4,2017-04-11,13:04:14,135,nan,0.0,0,0.0,7,1.0,135,60.3,31.6,0.28,0.28,0.28,1,99789.50,12.05,0.00
80.297973,8.156550,0.00,4,2017-04-11,13:04:24,90,nan,0.0,0,0.0,7,1.0,135,59.6,31.8,0.28,0.28,0.28,1,99776.50,12.05,0.00
80.297988,8.156564,0.00,4,2017-04-11,13:04:34,135,0.0,0.0,0,0.0,8,1.0,135,59.0,32.1,0.28,0.28,0.28,1,99779.50,12.05,0.00
80.298011,8.156561,0.00,4,2017-04-11,13:04:44,90,nan,0.0,0,0.0,9,1.0,135,58.5,32.2,0.28,0.28,0.28,1,99778.50,12.05,0.00
80.298019,8.156567,0.00,4,2017-04-11,13:04:54,135,nan,0.0,0,0.0,9,1.0,135,58.0,32.4,0.28,0.28,0.28,1,99777.00,12.05,0.00
80.298011,8.156575,0.00,4,2017-04-11,13:05:04,135,nan,0.0,0,0.0,10,1.0,135,57.5,32.6,0.28,0.28,0.28,0,99782.50,12.05,0.00
80.297988,8.156570,0.00,4,2017-04-11,13:05:14,135,0.0,0.0,0,0.0,11,1.0,135,57.0,32.7,0.28,0.28,0.28,0,99782.00,12.05,0.00
80.297996,8.156575,0.00,4,2017-04-11,13:05:24,135,nan,0.0,0,0.0,12,1.0,135,56.6,32.9,0.28,0.28,0.28,0,99782.00,12.05,0.00
80.297996,8.156580,0.00,4,2017-04-11,13:05:34,135,nan,0.0,0,0.0,12,1.0,135,56.2,33.1,0.28,0.28,0.28,0,99785.00,12.05,0.00
80.297996,8.156583,0.00,4,2017-04-11,13:05:44,135,0.0,0.0,0,0.0,12,1.0,135,55.8,33.2,0.28,0.28,0.28,0,99775.00,12.02,0.00
80.297996,8.156586,0.00,4,2017-04-11,13:05:54,135,nan,0.0,0,0.0,12,1.0,135,55.3,33.4,0.28,0.28,0.28,0,99773.75,12.05,0.00
80.298004,8.156583,0.00,4,2017-04-11,13:06:04,90,nan,0.0,0,0.0,12,1.0,135,54.9,33.6,0.28,0.28,0.28,0,99777.75,12.05,0.00
80.297996,8.156566,0.00,4,2017-04-11,13:06:14,90,nan,0.0,0,0.0,12,1.0,135,54.6,33.7,0.28,0.28,0.28,0,99776.25,12.05,0.00
80.298004,8.156556,0.00,4,2017-04-11,13:06:24,90,nan,0.0,0,0.0,12,1.0,135,54.2,33.8,0.28,0.28,0.28,0,99775.50,12.05,0.00
80.298011,8.156553,0.00,4,2017-04-11,13:06:34,180,nan,0.0,0,0.0,12,1.0,135,53.9,33.9,0.28,0.28,0.28,0,99775.75,12.07,0.00
80.298011,8.156552,0.00,4,2017-04-11,13:06:44,180,nan,0.0,0,0.0,13,1.0,135,53.6,34.1,0.28,0.28,0.28,0,99781.25,12.07,0.00
80.298011,8.156548,0.00,4,2017-04-11,13:06:54,135,nan,0.0,0,0.0,13,1.0,135,53.3,34.2,0.28,0.28,0.28,0,99783.75,12.05,0.00
80.298011,8.156543,0.00,4,2017-04-11,13:07:03,135,nan,0.0,0,0.0,13,1.0,135,53.1,34.3,0.28,0.28,0.00,0,99781.50,12.07,0.00
80.298004,8.156538,0.00,4,2017-04-11,13:07:13,135,0.0,0.0,0,0.0,13,1.0,135,52.8,34.4,0.28,0.28,0.00,0,99779.25,12.05,0.00
80.297996,8.156538,0.00,4,2017-04-11,13:07:23,135,0.0,0.0,0,0.0,13,1.0,135,52.5,34.4,0.28,0.28,0.00,0,99773.25,12.07,0.00
80.297996,8.156532,0.00,4,2017-04-11,13:07:33,135,nan,0.0,0,0.0,13,1.0,135,52.3,34.6,0.28,0.28,0.00,0,99777.25,12.05,0.00
80.297988,8.156529,0.00,4,2017-04-11,13:07:43,135,nan,0.0,0,0.0,13,1.0,135,52.1,34.7,0.28,0.28,0.00,0,99776.50,12.07,0.00
80.297988,8.156531,0.00,4,2017-04-11,13:07:53,135,0.0,0.0,0,0.0,13,1.0,135,51.8,34.7,0.28,0.28,0.00,0,99776.50,12.07,0.00
80.297988,8.156534,0.00,4,2017-04-11,13:08:03,180,nan,0.0,0,0.0,13,1.0,180,51.6,34.9,0.28,0.28,0.00,0,99771.50,12.07,0.00
80.297981,8.156536,0.00,4,2017-04-11,13:08:13,180,nan,0.0,0,0.0,14,1.0,180,51.4,34.9,0.28,0.28,0.00,0,99769.00,12.07,0.00
80.297981,8.156539,0.00,4,2017-04-11,13:08:23,180,0.0,0.0,0,0.0,15,1.0,180,51.2,35.0,0.28,0.28,0.00,0,99767.25,12.07,0.00
80.297996,8.156537,0.00,4,2017-04-11,13:08:33,180,nan,0.0,0,0.0,15,1.0,180,51.1,35.1,0.28,0.28,0.00,0,99770.75,12.07,0.00
80.298004,8.156534,0.00,4,2017-04-11,13:08:43,180,nan,0.0,0,0.0,15,1.0,180,50.9,35.1,0.28,0.28,0.00,0,99762.75,12.07,0.00
80.297996,8.156535,0.00,4,2017-04-11,13:08:53,90,0.0,0.0,0,0.0,15,1.0,180,50.7,35.2,0.28,0.28,0.00,0,99759.25,12.07,0.00
80.297996,8.156538,0.00,4,2017-04-11,13:09:03,90,nan,0.0,0,0.0,14,1.0,180,50.5,35.3,0.28,0.28,0.00,0,99759.00,12.07,0.00
80.297996,8.156538,0.00,4,2017-04-11,13:09:13,90,nan,0.0,0,0.0,14,1.0,180,50.3,35.4,0.28,0.28,0.00,0,99755.00,12.07,0.00
80.297988,8.156544,0.00,4,2017-04-11,13:09:23,90,nan,0.0,0,0.0,13,1.0,180,50.2,35.4,0.28,0.28,0.00,0,99755.75,12.07,0.00
80.297988,8.156548,0.00,4,2017-04-11,13:09:33,90,nan,0.0,0,0.0,13,1.0,180,50.0,35.5,0.28,0.28,0.00,0,99753.50,12.07,0.00
80.297996,8.156542,0.00,4,2017-04-11,13:09:43,180,0.0,0.0,0,0.0,13,1.0,180,49.9,35.6,0.28,0.28,0.00,0,99744.75,12.07,0.00
80.298004,8.156540,0.00,4,2017-04-11,13:09:53,180,nan,0.0,0,0.0,14,1.0,180,49.7,35.6,0.28,0.28,0.00,0,99744.75,12.10,0.00
80.298011,8.156549,0.00,4,2017-04-11,13:10:03,180,nan,0.0,0,0.0,14,1.0,180,49.6,35.7,0.28,0.28,0.00,0,99744.75,12.10,0.00
80.298004,8.156563,0.00,4,2017-04-11,13:10:13,180,nan,0.0,0,0.0,14,1.0,180,49.4,35.7,0.28,0.28,0.00,0,99741.75,12.10,0.00
80.297996,8.156572,0.00,4,2017-04-11,13:10:23,180,0.0,0.0,0,0.0,14,1.0,180,49.3,35.8,0.28,0.28,0.00,0,99742.75,12.07,0.00
80.298004,8.156573,0.00,4,2017-04-11,13:10:33,180,nan,0.0,0,0.0,14,1.0,180,49.2,35.8,0.28,0.28,0.00,0,99742.50,12.07,0.00
